Year,Quarter,Month,Day,Sum of Dept,IsHoliday,Sum of Month_Num,Price,Season,Store,Sum of Week_Num,Sum of Weekly_Sales,Sum of Year
2010,Qtr 1,February,5,94,false,2,0.046,Winter,17,6,3.96,2010
2010,Qtr 1,February,5,99,false,2,0.052,Winter,30,6,0.02,2010
2010,Qtr 1,February,5,60,false,2,'-0.06,Winter,11,6,1,2010
2010,Qtr 1,February,5,26,false,2,0.07,Winter,43,6,3,2010
2010,Qtr 1,February,5,80,false,2,'-0.084,Winter,15,6,-0.04,2010
2010,Qtr 1,February,5,80,false,2,0.11,Winter,25,6,3,2010
2010,Qtr 1,February,5,80,false,2,'-0.125,Winter,45,6,-2.45,2010
2010,Qtr 1,February,5,36,false,2,'-0.13,Winter,12,6,2,2010
2010,Qtr 1,February,5,26,false,2,'-0.13,Winter,38,6,3,2010
2010,Qtr 1,February,5,19,false,2,0.14,Winter,11,6,0,2010
2010,Qtr 1,February,5,25,false,2,0.155,Winter,33,6,5.25,2010
2010,Qtr 1,February,5,72,false,2,0.278,Winter,43,6,5.58,2010
2010,Qtr 1,February,5,60,false,2,0.28,Winter,29,6,7,2010
2010,Qtr 1,February,5,45,false,2,0.3,Winter,19,6,4.5,2010
2010,Qtr 1,February,5,78,false,2,0.31,Winter,17,6,1,2010
2010,Qtr 1,February,5,45,false,2,0.31,Winter,23,6,6.5,2010
2010,Qtr 1,February,5,51,false,2,0.326,Winter,45,6,7.56,2010
2010,Qtr 1,February,5,19,false,2,'-0.33,Winter,20,6,0,2010
2010,Qtr 1,February,5,41,false,2,0.34,Winter,17,6,7,2010
2010,Qtr 1,February,5,45,false,2,0.357,Winter,39,6,3.77,2010
2010,Qtr 1,February,5,45,false,2,0.36,Winter,28,6,0.5,2010
2010,Qtr 1,February,5,78,false,2,0.36,Winter,34,6,3,2010
2010,Qtr 1,February,5,51,false,2,0.406,Winter,17,6,4.66,2010
2010,Qtr 1,February,5,94,false,2,0.422,Winter,7,6,4.22,2010
2010,Qtr 1,February,5,45,false,2,0.45,Winter,3,6,4.5,2010
2010,Qtr 1,February,5,51,false,2,0.454,Winter,3,6,7.74,2010
2010,Qtr 1,February,5,51,false,2,0.46,Winter,29,6,3,2010
2010,Qtr 1,February,5,5,false,2,0.46,Winter,36,6,7,2010
2010,Qtr 1,February,5,99,false,2,'-0.499,Winter,31,6,0.01,2010
2010,Qtr 1,February,5,94,false,2,0.506,Winter,12,6,4.96,2010
2010,Qtr 1,February,5,56,false,2,0.519,Winter,30,6,1.49,2010
2010,Qtr 1,February,5,51,false,2,0.546,Winter,1,6,1.16,2010
2010,Qtr 1,February,5,6,false,2,0.554,Winter,30,6,4.64,2010
2010,Qtr 1,February,5,94,false,2,0.566,Winter,29,6,1.96,2010
2010,Qtr 1,February,5,45,false,2,0.59,Winter,7,6,2,2010
2010,Qtr 1,February,5,94,false,2,0.616,Winter,15,6,1.96,2010
2010,Qtr 1,February,5,94,false,2,0.618,Winter,16,6,5.88,2010
2010,Qtr 1,February,5,78,false,2,0.62,Winter,24,6,6,2010
2010,Qtr 1,February,5,45,false,2,0.637,Winter,32,6,5.97,2010
2010,Qtr 1,February,5,51,false,2,0.656,Winter,24,6,4.36,2010
2010,Qtr 1,February,5,51,false,2,0.66,Winter,26,6,3.5,2010
2010,Qtr 1,February,5,47,false,2,0.68,Winter,3,6,10,2010
2010,Qtr 1,February,5,85,false,2,0.68,Winter,30,6,7.7,2010
2010,Qtr 1,February,5,45,false,2,0.756,Winter,12,6,11.96,2010
2010,Qtr 1,February,5,49,false,2,0.764,Winter,12,6,4.94,2010
2010,Qtr 1,February,5,51,false,2,0.766,Winter,19,6,11.16,2010
2010,Qtr 1,February,5,51,false,2,0.77,Winter,14,6,12,2010
2010,Qtr 1,February,5,32,false,2,'-0.819,Winter,30,6,-12.99,2010
2010,Qtr 1,February,5,33,false,2,0.82,Winter,36,6,7,2010
2010,Qtr 1,February,5,31,false,2,0.82,Winter,38,6,10,2010
2010,Qtr 1,February,5,51,false,2,0.852,Winter,28,6,9.42,2010
2010,Qtr 1,February,5,45,false,2,0.86,Winter,14,6,4.5,2010
2010,Qtr 1,February,5,23,false,2,0.89,Winter,38,6,4,2010
2010,Qtr 1,February,5,45,false,2,0.937,Winter,34,6,9.97,2010
2010,Qtr 1,February,5,55,false,2,0.95,Winter,37,6,5,2010
2010,Qtr 1,February,5,56,false,2,0.986,Winter,37,6,5.96,2010
2010,Qtr 1,February,5,54,false,2,0.99,Winter,25,6,11,2010
2010,Qtr 1,February,5,51,false,2,1.01,Winter,11,6,5.8,2010
2010,Qtr 1,February,5,55,false,2,1.06,Winter,30,6,10,2010
2010,Qtr 1,February,5,78,false,2,1.07,Winter,10,6,12,2010
2010,Qtr 1,February,5,78,false,2,'-1.12,Winter,31,6,-12,2010
2010,Qtr 1,February,5,45,false,2,1.127,Winter,26,6,11.47,2010
2010,Qtr 1,February,5,45,false,2,1.13,Winter,4,6,7.5,2010
2010,Qtr 1,February,5,78,false,2,1.14,Winter,2,6,12,2010
2010,Qtr 1,February,5,78,false,2,1.14,Winter,23,6,12,2010
2010,Qtr 1,February,5,51,false,2,1.187,Winter,22,6,12.67,2010
2010,Qtr 1,February,5,78,false,2,1.2,Winter,21,6,12,2010
2010,Qtr 1,February,5,45,false,2,1.212,Winter,20,6,7.52,2010
2010,Qtr 1,February,5,6,false,2,1.218,Winter,38,6,14.18,2010
2010,Qtr 1,February,5,10,false,2,1.22,Winter,36,6,8,2010
2010,Qtr 1,February,5,9,false,2,1.242,Winter,43,6,16.42,2010
2010,Qtr 1,February,5,52,false,2,1.264,Winter,44,6,16.64,2010
2010,Qtr 1,February,5,49,false,2,1.275,Winter,7,6,14.15,2010
2010,Qtr 1,February,5,32,false,2,1.421,Winter,42,6,15.01,2010
2010,Qtr 1,February,5,11,false,2,1.438,Winter,33,6,9.68,2010
2010,Qtr 1,February,5,45,false,2,1.507,Winter,41,6,10.97,2010
2010,Qtr 1,February,5,3,false,2,1.526,Winter,36,6,12.86,2010
2010,Qtr 1,February,5,94,false,2,1.602,Winter,23,6,13.72,2010
2010,Qtr 1,February,5,19,false,2,1.68,Winter,34,6,16,2010
2010,Qtr 1,February,5,44,false,2,1.689,Winter,30,6,14.29,2010
2010,Qtr 1,February,5,48,false,2,1.706,Winter,23,6,16.96,2010
2010,Qtr 1,February,5,49,false,2,'-1.72,Winter,9,6,-15,2010
2010,Qtr 1,February,5,25,false,2,1.735,Winter,38,6,19.25,2010
2010,Qtr 1,February,5,45,false,2,1.924,Winter,18,6,20.94,2010
2010,Qtr 1,February,5,36,false,2,10.51,Winter,6,6,108,2010
2010,Qtr 1,February,5,26,false,2,10.868,Winter,36,6,108.78,2010
2010,Qtr 1,February,5,96,false,2,100.243,Winter,7,6,998.83,2010
2010,Qtr 1,February,5,29,false,2,1000.614,Winter,14,6,10006.94,2010
